Data_Referencia,Nom_Pais,Nombre_Vols,_id,Codi_Pais
2026-01-01T00:00:00,Espanya,220,1,1
2026-01-01T00:00:00,Itàlia,110,2,2
2026-01-01T00:00:00,Regne Unit,80,3,3
2026-01-01T00:00:00,França,78,4,4
2026-01-01T00:00:00,Alemanya,49,5,5
2026-01-01T00:00:00,Portugal,34,6,6
2026-01-01T00:00:00,Països Baixos,26,7,7
2026-01-01T00:00:00,Suïssa,24,8,8
2026-01-01T00:00:00,"Marroc, el",22,9,9
2026-01-01T00:00:00,Bèlgica,16,10,10
2026-01-01T00:00:00,"Estats Units, els",15,11,11
2026-01-01T00:00:00,Polònia,20,12,12
2026-01-01T00:00:00,Turquia,14,13,13
2026-01-01T00:00:00,Irlanda,10,14,14
2026-01-01T00:00:00,Àustria,10,15,15
2026-01-01T00:00:00,Dinamarca,10,16,16
2026-01-01T00:00:00,Romania,8,17,17
2026-01-01T00:00:00,Grècia,6,18,18
2026-01-01T00:00:00,"Emirats Àrabs Units, els",10,19,19
2026-01-01T00:00:00,Suècia,6,20,20
2026-01-01T00:00:00,Txèquia,8,21,21
2026-01-01T00:00:00,Hongria,8,22,22
2026-01-01T00:00:00,Qatar,6,23,23
2026-01-01T00:00:00,Israel,8,24,24
2026-01-01T00:00:00,Algèria,8,25,25
2026-01-02T00:00:00,Espanya,227,26,1
2026-01-02T00:00:00,Itàlia,125,27,2
2026-01-02T00:00:00,Regne Unit,94,28,3
2026-01-02T00:00:00,França,84,29,4
2026-01-02T00:00:00,Alemanya,57,30,5
2026-01-02T00:00:00,Portugal,44,31,6
2026-01-02T00:00:00,Països Baixos,24,32,7
2026-01-02T00:00:00,Suïssa,26,33,8
2026-01-02T00:00:00,"Marroc, el",32,34,9
2026-01-02T00:00:00,Bèlgica,22,35,10
2026-01-02T00:00:00,"Estats Units, els",19,36,11
2026-01-02T00:00:00,Polònia,18,37,12
2026-01-02T00:00:00,Turquia,18,38,13
2026-01-02T00:00:00,Irlanda,14,39,14
2026-01-02T00:00:00,Àustria,16,40,15
2026-01-02T00:00:00,Dinamarca,10,41,16
2026-01-02T00:00:00,Romania,12,42,17
2026-01-02T00:00:00,Grècia,8,43,18
2026-01-02T00:00:00,"Emirats Àrabs Units, els",10,44,19
2026-01-02T00:00:00,Suècia,4,45,20
2026-01-02T00:00:00,Txèquia,6,46,21
2026-01-02T00:00:00,Hongria,8,47,22
2026-01-02T00:00:00,Qatar,6,48,23
2026-01-02T00:00:00,Israel,3,49,24
2026-01-02T00:00:00,Algèria,8,50,25
2026-01-03T00:00:00,Espanya,221,51,1
2026-01-03T00:00:00,Itàlia,116,52,2
2026-01-03T00:00:00,Regne Unit,80,53,3
2026-01-03T00:00:00,França,74,54,4
2026-01-03T00:00:00,Alemanya,56,55,5
2026-01-03T00:00:00,Portugal,34,56,6
2026-01-03T00:00:00,Països Baixos,17,57,7
2026-01-03T00:00:00,Suïssa,20,58,8
2026-01-03T00:00:00,"Marroc, el",24,59,9
2026-01-03T00:00:00,Bèlgica,20,60,10
2026-01-03T00:00:00,"Estats Units, els",15,61,11
2026-01-03T00:00:00,Polònia,16,62,12
2026-01-03T00:00:00,Turquia,17,63,13
2026-01-03T00:00:00,Irlanda,12,64,14
2026-01-03T00:00:00,Àustria,10,65,15
2026-01-03T00:00:00,Dinamarca,4,66,16
2026-01-03T00:00:00,Romania,8,67,17
2026-01-03T00:00:00,Grècia,10,68,18
2026-01-03T00:00:00,"Emirats Àrabs Units, els",10,69,19
2026-01-03T00:00:00,Suècia,3,70,20
2026-01-03T00:00:00,Txèquia,8,71,21
2026-01-03T00:00:00,Hongria,6,72,22
2026-01-03T00:00:00,Qatar,6,73,23
2026-01-03T00:00:00,Israel,3,74,24
2026-01-03T00:00:00,Algèria,6,75,25
2026-01-04T00:00:00,Espanya,221,76,1
2026-01-04T00:00:00,Itàlia,119,77,2
2026-01-04T00:00:00,Regne Unit,91,78,3
2026-01-04T00:00:00,França,80,79,4
2026-01-04T00:00:00,Alemanya,58,80,5
2026-01-04T00:00:00,Portugal,36,81,6
2026-01-04T00:00:00,Països Baixos,22,82,7
2026-01-04T00:00:00,Suïssa,23,83,8
2026-01-04T00:00:00,"Marroc, el",26,84,9
2026-01-04T00:00:00,Bèlgica,20,85,10
2026-01-04T00:00:00,"Estats Units, els",23,86,11
2026-01-04T00:00:00,Polònia,28,87,12
2026-01-04T00:00:00,Turquia,16,88,13
2026-01-04T00:00:00,Irlanda,15,89,14
2026-01-04T00:00:00,Àustria,10,90,15
2026-01-04T00:00:00,Dinamarca,12,91,16
2026-01-04T00:00:00,Romania,12,92,17
2026-01-04T00:00:00,Grècia,8,93,18
2026-01-04T00:00:00,"Emirats Àrabs Units, els",10,94,19
2026-01-04T00:00:00,Suècia,6,95,20
2026-01-04T00:00:00,Txèquia,8,96,21
2026-01-04T00:00:00,Hongria,10,97,22
2026-01-04T00:00:00,Qatar,6,98,23
2026-01-04T00:00:00,Israel,7,99,24
2026-01-04T00:00:00,Algèria,8,100,25
